Price,Datetime,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
203,2025-05-15 07:08:00+00:00,1423.5999755859375,1425.5999755859375,1423.5,1425.0999755859375,33548,2025-05-15 07:08:00+00:00,1422.969989013672,1423.1820043945313
204,2025-05-15 07:09:00+00:00,1423.5999755859375,1424.5999755859375,1423.5999755859375,1423.5999755859375,9032,2025-05-15 07:09:00+00:00,1422.839990234375,1423.19400390625
205,2025-05-15 07:10:00+00:00,1422.800048828125,1423.800048828125,1422.800048828125,1423.5999755859375,8899,2025-05-15 07:10:00+00:00,1422.814990234375,1423.2000048828124
206,2025-05-15 07:11:00+00:00,1423.0,1424.0,1422.9000244140625,1423.199951171875,5965,2025-05-15 07:11:00+00:00,1422.7499877929688,1423.2200048828124
207,2025-05-15 07:12:00+00:00,1422.0999755859375,1423.300048828125,1421.9000244140625,1423.0,11349,2025-05-15 07:12:00+00:00,1422.6199890136718,1423.2300048828124
208,2025-05-15 07:13:00+00:00,1421.4000244140625,1422.5,1421.0,1422.0999755859375,16120,2025-05-15 07:13:00+00:00,1422.559991455078,1423.226005859375
209,2025-05-15 07:14:00+00:00,1421.0999755859375,1421.5,1420.5,1421.5,28941,2025-05-15 07:14:00+00:00,1422.4549926757813,1423.2120043945313
210,2025-05-15 07:15:00+00:00,1421.300048828125,1421.699951171875,1420.699951171875,1421.0999755859375,6892,2025-05-15 07:15:00+00:00,1422.4049926757812,1423.1800048828125
211,2025-05-15 07:16:00+00:00,1420.9000244140625,1421.5999755859375,1420.9000244140625,1420.9000244140625,9655,2025-05-15 07:16:00+00:00,1422.309991455078,1423.1620043945313
212,2025-05-15 07:17:00+00:00,1420.699951171875,1421.5,1420.5,1421.4000244140625,15659,2025-05-15 07:17:00+00:00,1422.1949890136718,1423.1480029296874
213,2025-05-15 07:18:00+00:00,1420.0999755859375,1421.199951171875,1420.0999755859375,1421.199951171875,14570,2025-05-15 07:18:00+00:00,1422.089990234375,1423.1000024414063
214,2025-05-15 07:19:00+00:00,1420.699951171875,1421.0,1420.0999755859375,1420.4000244140625,12238,2025-05-15 07:19:00+00:00,1422.014990234375,1423.0880004882813
